id;game_date;price;size;description;venue_id;sport_id
1;2024-02-04T10:53:46;19359.13;14677;under french;20185;11345
2;2024-02-04T05:21:29;1554.35;7930;besides;26610;31297
3;2024-02-03T16:59:09;11631.01;27198;yum yowza monitoring;32329;30205
4;2024-02-04T01:09:45;17024.13;11019;once gah;26033;16552
5;2024-02-04T00:44:50;9311.74;16012;before silently monkey;19539;15033
6;2024-02-03T21:35:40;16982.12;2553;faithfully;14423;30360
7;2024-02-03T14:00:11;19299.49;9417;meaningfully;18325;22958
8;2024-02-03T14:58:44;24398.18;9156;spotless meanwhile;16544;3097
9;2024-02-04T01:53:48;5575.98;8947;phrase woozy qua;1817;28004
10;2024-02-04T05:38:33;24207.31;19286;tremendously vow;1432;20544
