id;type;content;status;creation_date
1;ajar spit below;../fake-data/blob/hipster.txt;UNREAD;2024-02-03T21:29:17
2;abound that;../fake-data/blob/hipster.txt;UNREAD;2024-02-03T16:25:22
3;ick why;../fake-data/blob/hipster.txt;UNREAD;2024-02-04T04:51:50
4;informal yet;../fake-data/blob/hipster.txt;READ;2024-02-03T22:46:00
5;excepting curvy;../fake-data/blob/hipster.txt;UNREAD;2024-02-04T04:22:23
6;waterlogged;../fake-data/blob/hipster.txt;UNREAD;2024-02-04T08:34:31
7;excluding;../fake-data/blob/hipster.txt;UNREAD;2024-02-03T13:49:32
8;separately laryngitis;../fake-data/blob/hipster.txt;READ;2024-02-03T15:11:12
9;perky after phew;../fake-data/blob/hipster.txt;READ;2024-02-04T02:07:42
10;or convention nor;../fake-data/blob/hipster.txt;UNREAD;2024-02-03T22:47:55
